Kundennummer,Produktname,Produkt-ID,Eröffnungsdatum
K00009,Konsumkredit,b7052350-f8dc-4253-b195-ef6a9fa34c03,2017-05-22
K00009,Debitkarte,92aed651-58ea-4e91-a8aa-ba505c7bb543,2018-01-22
K00009,Sparbuch,bb75ef24-7185-41f9-9287-6d9f1e294498,2021-03-03
K00010,Girokonto,d8e696fe-3ab0-4e91-912b-2730f1d9d2b5,2017-05-08
K00010,Sparbuch,8bbce73f-697b-48e0-83ea-75e2ffb13062,2021-02-19
K00010,Wertpapierdepot,dc00854c-73b5-45d9-bec9-e9fa5e7cfbf0,2023-06-13
K00010,Immobilienfinanzierung,0a89136c-9233-4ce2-ba3e-b6ee2257fa44,2023-02-05
K00011,Debitkarte,782bd30b-d184-4ea4-b962-99ce60d94c4e,2019-10-28
K00012,Girokonto,86265a23-f415-4ac3-bf28-7b43b61372ce,2023-07-06
K00012,Wertpapierdepot,6c0cee33-1d5d-4862-958e-93fbc15e2b43,2023-11-14
K00012,Konsumkredit,07dd450a-d8f7-4611-b12b-1e6afc05e702,2016-10-15
K00012,Debitkarte,fd7ae16c-9bf5-4d94-bd8f-346e9aedf8cf,2017-04-12
K00013,Konsumkredit,b5390dd5-eeea-4c43-97ef-da7e26f1b1c7,2019-04-17
K00013,Kreditkarte,e4e5d94d-48f9-4578-bbef-ebce6081ad40,2020-03-12
K00014,Girokonto,1a921513-b6f8-4682-aeb2-5c4293572d57,2015-09-29
K00014,Konsumkredit,bef6b2b2-9ab9-4d1a-80d4-8631a981f9ed,2019-10-21
K00015,Immobilienfinanzierung,cf006b70-dd5f-41c9-b6e1-3ba237019c6a,2023-08-04
K00015,Wertpapierdepot,c7f07e4a-950a-4903-8898-19f520f3a595,2022-04-05
K00015,Konsumkredit,9be99e03-1c1e-4e34-b8dd-0a52bf1c53c5,2019-04-12
K00016,Debitkarte,6fcc195c-c550-4ef3-9e79-1c67c76e36aa,2018-09-15
K00017,Debitkarte,d09cf2d7-eef9-466d-8687-6a0b9e212eef,2024-05-05
K00017,Kreditkarte,eb9a80f1-9bf3-43df-8c67-ac972bacdd47,2022-03-11
K00017,Wertpapierdepot,cfc8dfe3-8f50-426e-bd0c-66c29613d6a3,2021-08-22
K00018,Immobilienfinanzierung,57be5127-7a6b-4486-b26b-160c684ae08d,2018-05-14
K00018,Kreditkarte,303f5c65-51c5-4129-b701-fbf8751aa8b3,2019-04-27
K00018,Konsumkredit,db899b35-a8b3-49e4-bfc5-ceef02909f51,2022-04-22
K00018,Girokonto,2b1036b1-ae80-4612-93c2-81a28dec3f4b,2018-02-11
K00019,Girokonto,0edb2249-4039-4b68-9c2d-e4ed5a704efc,2021-12-02
K00019,Sparbuch,81316e6d-6b27-4df8-b51b-b47d1e69e925,2024-01-14
K00019,Immobilienfinanzierung,627ff55f-5130-41dd-90dd-5ab129c6bad2,2023-11-29
K00019,Kreditkarte,a42c2a12-d167-427f-bf47-c284d7d89f3d,2023-08-31
K00019,Wertpapierdepot,988adbf8-3d04-4f76-ae2c-13de9a904514,2022-01-03
K00020,Konsumkredit,bd9eb812-d8da-41ee-b0d4-fe9703e6c611,2024-10-13
K00021,Debitkarte,ae2253b2-ced8-4c58-875d-443e0ac0a57c,2024-05-05
K00022,Konsumkredit,e6331204-130e-4905-9667-1850c8843978,2024-03-21
K00023,Kreditkarte,d9eb7198-6f3e-461e-a0b5-8aee6dddc03f,2017-11-14
K00023,Immobilienfinanzierung,d2161dec-4312-4567-b30c-9159d6826f63,2018-07-04
K00024,Girokonto,793c86d0-68af-4a08-b4ca-d5355a0699fc,2019-03-31
K00025,Debitkarte,a7585bf8-69e5-497d-89b3-fe47af7e5369,2023-07-05
K00025,Girokonto,b5453ccf-ae99-4187-9c9e-a498e69ade80,2018-12-09
K00025,Immobilienfinanzierung,afe8f335-057d-4d88-ad6a-d74716ed4298,2018-05-08
K00026,Immobilienfinanzierung,771db2f7-b2d5-48a1-9a6c-3fecadb18688,2015-09-02
K00026,Konsumkredit,23b41e4a-2031-470b-82c1-14f349771097,2023-12-27
K00026,Sparbuch,3f18f924-1f8f-4028-84b5-177305fff3c3,2017-11-06
K00027,Wertpapierdepot,04986985-6182-4bc8-b11c-54e3e31661f1,2015-12-08
K00027,Konsumkredit,9aac80de-a687-490a-a8de-943c4e182a35,2023-04-09
K00028,Kreditkarte,c67d3e0d-e1d1-4ea7-9e45-05807538d506,2023-04-24
K00028,Sparbuch,2b9ca5b5-cffe-44e8-913b-14ce258ba14d,2019-05-26
K00028,Debitkarte,5d10700b-e292-4a20-ae31-d2416ad411ad,2020-12-18
K00028,Wertpapierdepot,47a7f1af-9026-4d44-ade9-e5473c3e9ebb,2019-05-05
K00028,Girokonto,b15ce492-6f01-4745-ac35-9e240d73f7e9,2022-10-03
K00029,Debitkarte,c491f26f-6663-4ccf-86b4-ce2b7ec7840a,2019-07-15
K00029,Konsumkredit,c192e32c-1308-427d-8fd3-d3b4c7b3360e,2016-07-22
K00029,Wertpapierdepot,1eafd6fa-4ed3-4bd3-b936-892c45b0ed89,2021-05-05
K00029,Sparbuch,c89eb5c9-6d7e-493a-a7cf-cbd74f1d3584,2015-05-01
K00029,Kreditkarte,e547e3af-fec3-4026-b433-10c9471c4a0e,2015-06-25
K00030,Sparbuch,92976d3b-cebb-4ae9-a740-60e8d5b88fe4,2023-07-25
K00030,Debitkarte,8a578907-fa23-4bc8-88f2-3d2e8361b9e8,2024-03-17
K00030,Konsumkredit,5e8bfc6a-ff6f-420f-8bce-2fbfd3efb951,2019-02-17
K00030,Immobilienfinanzierung,1e48e77d-47e6-44ec-a092-1caf34c66c4a,2019-02-08
K00030,Kreditkarte,f27b530d-a4fd-4529-a306-88bca2b1fbfc,2017-06-21
K00031,Kreditkarte,b7e46ea1-c344-44f7-aba9-8e46d9522d25,2019-09-16
K00031,Girokonto,885604cc-68d3-452f-a22e-5602a5969b2b,2017-06-02
K00031,Konsumkredit,5cdafc19-13e3-4dcb-9eb8-bfb2652a2ab3,2019-11-18
K00032,Kreditkarte,80a67ec2-a95b-4361-b6b9-8ddb103b9a87,2020-07-10
K00032,Wertpapierdepot,19552292-65f1-41ef-8499-eb677a7773b5,2019-04-03
K00032,Sparbuch,110a69d5-9cdc-4e4d-b7f8-dcdbd7f07c21,2018-06-07
K00033,Konsumkredit,64c66d94-54f0-47b0-b1ed-70015ce1c8e0,2025-01-23
K00034,Wertpapierdepot,94a8fd90-8aac-4314-a61d-f738a752dc12,2019-08-19
K00034,Immobilienfinanzierung,0d7e0b0b-76f9-4223-9a57-54274c4e5370,2023-08-31
K00034,Konsumkredit,a8fee75e-dcf1-48c6-adaf-bfe25a71c8eb,2022-07-24
K00035,Konsumkredit,f475a3f3-0859-41ad-bd54-925a44fe1fa1,2022-10-26
K00035,Immobilienfinanzierung,1f268942-32b2-4386-9286-540642b6f2f9,2021-04-02
K00035,Sparbuch,1aee4710-0835-4f4a-9d9f-a28819e0c49d,2015-11-26
K00036,Debitkarte,852dea27-28a1-4404-86b0-c7c4d8467604,2021-03-11
K00036,Konsumkredit,6fef54c3-7822-495e-8ae7-623b8a0fc6eb,2023-08-13
K00036,Girokonto,5f10d5c8-971a-404e-bc6f-01bde591863d,2016-12-21
K00036,Sparbuch,bf6b8b88-86f2-4790-8b9d-098a41c0e713,2016-12-16
K00037,Wertpapierdepot,5458758c-a04f-44e1-af81-c918c450d6b0,2021-03-28
K00037,Immobilienfinanzierung,f44cf009-83ca-47a4-855b-72fa04542f25,2020-07-19
K00037,Debitkarte,cbf45d8f-31d3-4c48-91ac-d0ad070e1583,2019-03-26
K00037,Kreditkarte,410a65b4-20b3-4285-808c-f289cdee9968,2020-11-10
K00038,Girokonto,293b2b1f-2c6f-416d-b914-9b785f9caf4c,2017-02-25
K00038,Kreditkarte,fcfe2bac-27b9-45f6-af4d-cbbda075b211,2015-07-28
K00038,Konsumkredit,e3f27714-ce99-4b1d-9b28-d8c27537633b,2016-09-10
K00039,Girokonto,719b534a-8532-4c70-aa94-39f04c09163d,2021-05-31
K00039,Wertpapierdepot,fc672a31-6c99-4fd3-b00c-e3f846aabc25,2020-05-23
K00039,Debitkarte,39c4ce9c-dbe3-4437-b456-094d64134008,2017-05-25
K00040,Kreditkarte,7de1b6ab-b95e-49c0-9919-977f5ad9fe4b,2022-06-11
K00040,Konsumkredit,3f35b22e-ff11-4ddb-8236-7cc5ed22e9fb,2024-12-15
K00040,Immobilienfinanzierung,0b76bce0-044f-45cf-9725-b73181bcbd65,2024-12-23
K00040,Sparbuch,536cbcbe-98e2-4aa3-9cdc-4fadc97e9e85,2023-09-13
K00040,Wertpapierdepot,3c181c2f-7fcc-4f25-8473-11c26ab7d708,2021-07-24
K00041,Sparbuch,3ded1fe3-ab22-4958-9234-9b5b77807573,2018-11-03
K00041,Kreditkarte,ae1188f4-8d7a-42bb-8feb-c58eb6293737,2017-02-19
K00041,Debitkarte,66f4a69b-688e-4887-8482-1c4a7ee1ff56,2021-08-13
K00042,Immobilienfinanzierung,dfd4a2f9-4f2f-4dd5-a52d-1ca919d9a2e5,2016-07-03
K00042,Kreditkarte,8151db44-341e-4356-a6fb-a0a2b1bca650,2016-09-26
K00042,Sparbuch,2d5cac74-6617-4a71-8b23-f8c86ce71541,2021-08-02
K00042,Girokonto,47de336f-d0e3-487e-93ec-82db4e295c24,2022-07-21
K00042,Debitkarte,7641ea25-a51a-44d0-a80f-18dea14aea62,2022-12-14
K00043,Immobilienfinanzierung,75d92774-3914-4265-969d-a3eceba94b50,2015-05-30
K00044,Girokonto,8616465d-a0c9-4732-a40b-944611e00ef4,2016-04-25
K00044,Wertpapierdepot,c97c58b0-fe95-4c5e-a306-41cb7f160803,2017-05-01
K00044,Immobilienfinanzierung,74ec08c4-6901-4c92-90fd-522bbab1b975,2015-08-02
K00044,Sparbuch,995a216d-3e19-4e6d-a687-f4abaae8a480,2019-07-18
K00045,Immobilienfinanzierung,e7be2356-a894-49e5-902c-69f34178ce07,2017-11-06
K00046,Kreditkarte,00c0b353-a3ff-4841-90c9-b4f77d124380,2020-03-17
K00046,Konsumkredit,1e6c6b2c-50e4-4a45-84de-f9afc93a58c1,2022-01-27
K00046,Sparbuch,9d6d9016-e12c-4508-89db-41bff9c3434f,2022-12-12
K00047,Sparbuch,d3251a48-0ebc-4ea5-b7c6-cd07f7871ad5,2019-05-01
K00047,Wertpapierdepot,3575e7cc-57f6-4645-9f15-24e981bd09b8,2021-02-25
K00048,Wertpapierdepot,97de8639-f51b-4b28-9a42-b479374eb495,2021-04-23
K00048,Debitkarte,6b82bba5-1507-49c3-80a6-049dbc8c76ba,2024-09-22
K00048,Immobilienfinanzierung,bd194229-d4a1-4f3e-bb6d-4b7e75332526,2025-03-16
K00049,Immobilienfinanzierung,5501f2e9-6166-407a-9168-8763d99db7a9,2017-05-06
K00049,Konsumkredit,a4e3a37b-c8c2-4d25-9bfb-db814e9b6a45,2025-01-22
K00050,Kreditkarte,87ef0693-2991-442b-9da7-a04c7590e672,2024-09-25
K00050,Immobilienfinanzierung,3c1ffa85-b2e2-4bca-aa1e-7d73b8895512,2018-07-22
K00050,Girokonto,e702c8f2-0a68-4053-b5ff-f6a2861863e5,2017-07-03
K00051,Girokonto,a752170c-8e2e-4ffb-b2c7-67579c4b392a,2023-07-11
K00051,Sparbuch,80c185f2-9a93-48de-89c2-4765bfb765c8,2017-05-30
K00051,Kreditkarte,792f8ede-6fb1-4fec-925b-dde656b68a6d,2024-11-19
K00051,Konsumkredit,c6ee5dfa-662c-4428-adf5-4f626fbb983e,2022-06-18
K00052,Immobilienfinanzierung,e6387027-3049-4798-86bd-61c996d30c05,2022-02-07
K00052,Girokonto,5142d5f5-6b2f-46e8-9226-6afdf4812828,2019-10-11
K00052,Konsumkredit,e26f331f-ab22-427b-8e2f-be30c67bdc1a,2024-03-09
K00052,Kreditkarte,1a18b3c1-9202-4ca9-b53d-908a79dddf2d,2016-02-23
K00052,Sparbuch,6fdf870d-d72c-473f-bc15-ac52d6f3f273,2024-04-25
K00053,Girokonto,c0688be1-a780-448a-9a07-6382ff9961f0,2018-12-17
K00053,Konsumkredit,ba18ecca-cd93-4f47-8b59-0f22e8dcd53c,2021-08-21
K00053,Immobilienfinanzierung,14ac8191-99ef-4ca3-8cd0-54aaad3034db,2023-01-11
K00053,Wertpapierdepot,a5bb77e9-a597-41b9-8440-3395d7a0b9b1,2024-09-14
K00053,Kreditkarte,dac09166-008f-4192-8a36-b97b80a73ed0,2017-03-03
K00054,Debitkarte,7aaf18a1-ac9d-4fd0-82b4-e9c58f801305,2020-07-30
K00054,Kreditkarte,5365fcc4-378a-457c-a252-cf051a22a510,2024-10-13
K00054,Immobilienfinanzierung,2c3e0d8d-cca2-42eb-bd3f-9f4ba45cf7f2,2021-09-10
K00054,Girokonto,b9416a14-35bb-4653-8e57-ab2e95501d15,2024-08-15
K00055,Konsumkredit,8dcd8849-4425-4519-96b0-e9126194667c,2023-03-05
K00055,Girokonto,11a84a8b-81c4-458e-8707-deaad9b47be8,2022-11-22
K00056,Wertpapierdepot,fb609fe9-6d6f-4421-be0a-4a9653286910,2024-05-08
K00056,Immobilienfinanzierung,950cd4b6-8a67-496c-8318-df5d80593547,2021-01-18
K00056,Debitkarte,0e974537-4245-4da1-8b8a-f36180d4214d,2018-06-15
K00056,Sparbuch,5ec15370-fac7-437a-bacb-92b60a7617f4,2024-01-28
K00056,Kreditkarte,83f02c45-deef-46b4-821f-e49452f4a381,2022-11-10
K00057,Kreditkarte,d8a2908f-704d-48b8-9cb4-c7b49080b14a,2022-03-08
K00058,Kreditkarte,d36f34c1-2b13-4b2e-9238-1a7830fdbb17,2020-03-30
K00058,Immobilienfinanzierung,5c312edf-4028-4161-bd38-719517294229,2019-03-07
K00058,Konsumkredit,dd152d1a-0474-4d82-80d2-aa36f3dcaa02,2017-09-09
K00058,Girokonto,35fefa58-d0e9-41f0-8351-4ac2a7d5f52d,2020-12-02
K00059,Girokonto,4c54cf21-5c87-4038-a33a-bacb210146e3,2018-11-26
K00059,Debitkarte,e1c415f2-2281-4350-8899-9197ef5360f5,2024-05-05
K00060,Konsumkredit,6dad528f-dc91-4d78-aca7-6fb2b3a478af,2019-01-20
K00060,Girokonto,d50bad14-565a-49fc-b083-75c84be2b6d4,2017-04-16
K00060,Kreditkarte,6b2323cd-7420-4cf8-b03f-8f81eac33f6b,2015-08-20
K00061,Wertpapierdepot,dfa55acc-9252-415b-978c-187f6d1d0978,2019-10-27
K00061,Sparbuch,dce0e5f5-ca83-4291-9e51-fc6b26e71f5c,2019-12-29
K00062,Konsumkredit,7782fa4d-48b2-40f2-a33e-4c6326b539f6,2016-01-16
K00062,Immobilienfinanzierung,912abb3c-0bf5-4f96-9fff-49bd4b3e913f,2023-11-08
K00062,Wertpapierdepot,2303ba28-075a-4e15-b234-79f01d9c4e72,2017-12-07
K00062,Debitkarte,84500fa2-fd69-47f6-826f-5e707522d3bf,2020-08-21
K00063,Kreditkarte,5c1c45a2-7664-44a3-99a7-db986a2b2219,2022-06-24
K00063,Debitkarte,c9b53715-78b3-45c4-81f1-fccceb194530,2023-10-31
K00063,Sparbuch,357d75aa-d9f0-4180-b51e-56f83ede4eb0,2015-06-29
K00063,Konsumkredit,96001617-da98-4050-b38e-636d36a14303,2016-04-28
K00063,Immobilienfinanzierung,2bb4cd94-7f36-4193-a8e5-f0a2cd97a1d2,2016-07-23
K00064,Debitkarte,e97b7ea9-97a5-4af1-b25e-053c7c1e4ec3,2017-10-19
K00065,Wertpapierdepot,669dffee-0cc7-4ed0-be0e-c54c5a27e036,2019-01-07
K00065,Konsumkredit,67379059-2a22-4f7a-8678-8ffbb0558cd0,2018-08-08
K00065,Immobilienfinanzierung,4d397859-a6e5-461e-8e96-33c64bb62661,2015-11-19
K00065,Girokonto,757e7a29-c6fc-45ab-8325-3270ccab7345,2025-02-06
K00066,Sparbuch,e3d3f274-1927-41f2-acfc-c994ed4df2ad,2015-05-02
K00066,Konsumkredit,757ebbc5-fd7c-4052-80f1-75adfa824bb7,2016-08-25
K00066,Kreditkarte,956a6d11-fbf7-481f-a08e-c84cc2d13717,2022-01-07
K00067,Debitkarte,9fb5b8bf-5b46-486f-9fd6-010716cc49c4,2015-09-20
K00067,Immobilienfinanzierung,c50d6f8f-ee58-4032-bfd0-6d3eaa320866,2021-05-02
K00068,Kreditkarte,a03df402-66fa-4abd-86bf-99c911e4b77f,2022-08-28
K00069,Wertpapierdepot,48b4013d-9f92-41e8-9814-1be6dd4bd9d6,2019-01-07
K00069,Kreditkarte,b6a6ed7f-3223-4e63-9f86-f3659dffde61,2019-08-10
K00069,Immobilienfinanzierung,b53dcd9f-d25e-4998-b626-deb2d1d69440,2022-11-16
K00070,Konsumkredit,3ed2331b-477f-4349-a095-59fa2efad8d8,2019-08-25
K00071,Sparbuch,f7dcfdf3-5928-47fb-91c2-337967507774,2023-05-06
K00071,Girokonto,ce4cf8c8-e713-4d72-a131-4ecb9c1895b0,2015-07-16
K00071,Konsumkredit,7fc592a9-3ae9-4c99-872c-f939a3bcca8f,2019-07-05
K00072,Kreditkarte,2c98239e-ea51-435d-af55-50f5db7664c5,2020-05-28
K00073,Kreditkarte,6a1745fe-d534-44cf-9d4f-0c6e216a6d06,2017-03-01
K00073,Debitkarte,d53dcf14-2531-4230-b217-683392d5b6bb,2019-07-12
K00074,Girokonto,66681d7d-e724-4f5b-8964-623efb99af2d,2023-03-03
K00074,Debitkarte,4e9b9ad8-9609-4f37-ba75-75064ffcac63,2015-05-19
K00074,Immobilienfinanzierung,6c68c6f6-18fa-4d3a-882e-05f63ae176bf,2021-05-21
K00074,Sparbuch,84b0cb7a-84ac-48de-b441-6b3c357bc417,2016-10-19
K00074,Kreditkarte,68d4f299-55ba-4df2-9b18-532277535a89,2015-05-27
K00075,Sparbuch,5caa73c7-ca2e-48f8-82b9-db07ebceb852,2023-01-29
K00075,Girokonto,2319babf-dc59-413d-b0ae-3518706856e3,2016-07-24
K00075,Wertpapierdepot,bd0a6a21-f615-4313-b6ae-d588c1926840,2023-09-09
K00075,Debitkarte,b2b8c846-2645-46c5-b65a-529a63b820d8,2022-08-08
K00075,Immobilienfinanzierung,2a0b9dcc-67d4-40c1-8a6b-3b3c83730afd,2022-12-18
K00076,Debitkarte,4bdee034-0579-4535-95c4-990079c5a642,2023-03-10
K00076,Sparbuch,9dda54ae-e953-4d39-ace4-5458dcc30024,2018-02-25
K00077,Debitkarte,8baa7368-09a5-49c8-a345-208f80df6989,2015-06-01
K00077,Sparbuch,902eb5fc-06a1-438d-af71-178905c7582e,2024-09-11
K00077,Wertpapierdepot,a3479770-0613-4c7e-b39c-a5f4fe1f6d65,2019-06-01
K00078,Immobilienfinanzierung,1a268c0f-e36d-4eba-8aed-6d534ba2e56f,2017-12-09
K00079,Sparbuch,a3ae6e79-a9a9-496d-9bec-397547528718,2016-07-20
K00079,Wertpapierdepot,3970aca5-23da-40ff-81ad-e3d4fa899d6c,2021-08-08
K00080,Debitkarte,30e9bf1a-e7fe-46b7-9533-ba684c00ebd0,2019-06-12
K00080,Sparbuch,7581c5ab-5578-41ad-8d3b-4b312a54c16b,2017-11-26
K00080,Girokonto,eb8ead6c-8113-437f-bc77-0f23343a51b8,2018-01-06
K00081,Sparbuch,ecdc6aea-ff28-4809-a824-cf66adcd2e39,2023-02-08
K00082,Immobilienfinanzierung,08fc1814-ee6e-4988-96c3-bc8718640764,2021-05-16
K00083,Wertpapierdepot,a9524cc1-ba36-4608-991b-6a5078241a4b,2016-10-26
K00083,Immobilienfinanzierung,961a7e57-fd5e-47f8-9ee9-0aa02a3f773f,2018-05-10
K00084,Sparbuch,5feaf5ac-cd5f-4509-a3b5-655e0d9e89b3,2024-11-05
K00085,Girokonto,d68f967e-9eb4-4a30-b428-bcc2ffa763b2,2023-12-01
K00085,Sparbuch,6a9c0aff-4331-4c5a-8441-eb4aacd025a4,2016-01-25
K00085,Konsumkredit,28fc75e0-1394-473d-9d42-629a9f087acf,2017-08-30
K00086,Girokonto,c578622b-b149-477a-b412-2959f52ddd40,2019-07-13
K00086,Kreditkarte,75dd29ea-b134-4fa8-bedf-a0510cd14e53,2021-10-11
K00086,Debitkarte,02521a9d-612d-46ea-947c-a017b3d4b3b0,2016-06-24
K00086,Konsumkredit,9fde5cc1-e94e-4445-8c86-98cad5e14771,2024-12-15
K00086,Sparbuch,6efed888-f7ef-49b3-bb34-dd83a7f38db1,2016-08-27
K00087,Wertpapierdepot,35f6fc03-2e64-4fd5-b085-ac58c4fe1455,2022-05-04
K00087,Debitkarte,addbf1ca-2c4b-44e0-9979-82860109cda9,2017-12-29
K00087,Girokonto,956da2e3-6d5e-4621-975b-9a7763757994,2020-05-19
K00088,Wertpapierdepot,7cf68836-19c6-43aa-b4cf-6e7ce098b57d,2018-09-16
K00088,Sparbuch,d1e2ba89-ba17-4054-b62e-eb3b823bf36e,2018-07-14
K00088,Debitkarte,98a13ef3-e2bc-44c3-8a30-7c6beadb68ab,2017-10-10
K00088,Girokonto,3ff0fd3b-e9dc-4fbe-afb0-01bdf055c2a0,2017-03-02
K00089,Immobilienfinanzierung,a9479558-c314-485c-a01a-d486335aa690,2023-12-30
K00089,Konsumkredit,42c2b0f1-4197-4ecd-8053-cfe6f7f90b6c,2025-01-14
K00089,Girokonto,9005f3f3-6ad1-4a25-af9b-4df7eeb07f0c,2017-09-24
K00089,Wertpapierdepot,68930bc2-d1af-4de1-8d64-d0433633b66c,2021-03-24
K00089,Sparbuch,2aef71a6-7db1-4780-852e-f0172c43620b,2024-03-30
K00090,Konsumkredit,c8cd474d-add2-4381-b6e5-15d82a730c85,2019-09-05
K00090,Kreditkarte,22ab6c39-22da-4200-b653-a11f51489690,2024-02-17
K00090,Girokonto,f4040117-31af-49ba-89cf-2bda2330510c,2019-03-27
K00090,Debitkarte,3f3c1551-08d9-4018-9065-0fed8bd5338b,2019-10-16
K00091,Girokonto,083541f9-b7ca-430d-a6b4-c93679b19457,2021-02-17
K00091,Debitkarte,daaa8e8b-d1e7-469a-9e77-fbee86a5ab6f,2018-12-11
K00091,Immobilienfinanzierung,285f2860-ac56-4d04-a5b2-fd559432605d,2017-04-10
K00091,Sparbuch,8445f327-5c31-40f3-bc72-a1b6767e392c,2016-12-11
K00092,Sparbuch,d76f94e3-7245-47c0-b57c-104341270d89,2022-02-03
K00093,Wertpapierdepot,4669798e-3d2f-47e0-a45c-13186e519c3f,2020-06-30
K00093,Kreditkarte,29d57824-30c4-4d01-adf8-d97487bb7120,2016-05-31
K00093,Debitkarte,dc61b5b0-f1ab-43a8-9b95-6e7fb9fd4227,2015-11-15
K00094,Kreditkarte,f3602552-c3fa-4bc5-aa4d-d4486fee6c4c,2017-08-21
K00094,Immobilienfinanzierung,33d24faa-da79-431e-97a4-5f8d21a533a6,2023-10-31
K00094,Konsumkredit,536f5852-53df-47ff-8b97-84c16e74c4f5,2021-12-31
K00094,Debitkarte,f18003a8-32e5-4fe8-b648-7051a7bd6894,2016-08-04
K00094,Sparbuch,84090f5b-e090-4c07-8dd9-62288c118836,2015-05-25
K00095,Wertpapierdepot,adc25026-4366-4c12-a97a-c1e71287620b,2020-04-18
K00095,Konsumkredit,d3129b47-6d3c-411a-8c7c-309114c9b090,2020-12-14
K00095,Girokonto,bdbdb125-ffb1-487b-b2a6-c72544dd6083,2021-02-23
K00095,Debitkarte,f4d6edcb-d151-45c5-8e5e-c771ba1cb29f,2022-08-24
K00095,Immobilienfinanzierung,4dd94957-6418-4540-b6b5-02edda361cc3,2021-02-03
K00096,Kreditkarte,d725e2f5-fc34-4799-b817-e473035444a1,2019-06-21
K00096,Sparbuch,606f8814-b141-4bd6-a054-540f5c470592,2022-01-13
K00096,Konsumkredit,281fe309-9c76-46c9-8b12-7552d0831de5,2023-07-03
K00096,Wertpapierdepot,2d342993-0753-43ba-a7eb-fcf7d618a96d,2016-06-12
K00096,Girokonto,785b1fcf-ad7e-4e52-a400-a5d5f9449ca3,2016-02-09
K00097,Immobilienfinanzierung,9364a66c-40b8-4f12-8284-3b90c5fc42de,2023-04-25
K00097,Konsumkredit,a23e6261-14ad-406f-8328-5c884f664ed9,2025-02-05
K00097,Kreditkarte,54bbc667-0b92-4fa3-87e9-01d271291f59,2023-07-15
K00097,Wertpapierdepot,2236b1ba-8256-4a65-a0d7-0ee78bd7a05f,2023-01-17
K00098,Immobilienfinanzierung,b28ed9c6-e859-4ff6-b848-13f6a20feea6,2018-02-05
K00099,Immobilienfinanzierung,ada85010-c975-415e-8c98-c6dbcd64a5c2,2016-09-20
K00099,Kreditkarte,3c384284-63f4-48d7-adc9-e004628c8ee2,2019-07-06
K00099,Debitkarte,9af225a2-9556-4bca-953d-94c02efe1b3b,2025-02-01
K00099,Wertpapierdepot,c19c581f-1ab5-4b8f-96a2-54880e322ace,2022-02-11
K00100,Kreditkarte,9d39ef04-ba48-4fa9-95ef-6356718c9241,2024-03-15
